country_iso3,media_raw,media_score
UKR,0.300377358490566,0.10107284020327512
SDN,0.17849056603773583,0.4658385093167703
YEM,0.06452830188679246,0.8068887634105025
SYR,0.07962264150943396,0.7617165443252399
AFG,0.08377358490566039,0.7492941840767927
ETH,0.1941509433962264,0.4189723320158103
COD,0.3341509433962264,0.0
SSD,0.15754716981132075,0.5285149632975721
HTI,0.25566037735849056,0.23489553924336537
MMR,0.33264150943396226,0.0045172219085263254
SOM,0.04169811320754717,0.8752117447769622
NGA,0.30150943396226415,0.09768492377188032
MLI,0.028301886792452827,0.9153020892151327
TCD,0.014150943396226414,0.9576510446075663
BFA,0.01849056603773585,0.9446640316205533
CAF,0.0,1.0
VEN,0.0649056603773585,0.805759457933371
COL,0.045471698113207545,0.8639186900056466
MOZ,0.0009433962264150945,0.9971767363071711
CMR,0.004905660377358491,0.9853190287972897
NER,0.052075471698113204,0.8441558441558441
HND,0.1509433962264151,0.5482778091473743
GTM,0.2449056603773585,0.26708074534161486
SLV,0.1569811320754717,0.5302089215132693
